aciertos,errores,tiempo_promedio,intentos,score,grado,operacion_recomendada,descripcion
6,1,56.26,3,-17.63,1,suma,"Bajo desempeño en suma, reforzar bases."
17,17,31.86,3,-7.43,1,suma,"Bajo desempeño en suma, reforzar bases."
12,14,36.15,3,-15.075,1,suma,"Bajo desempeño en suma, reforzar bases."
7,5,26.76,1,-6.880000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
3,4,45.98,4,-22.99,1,suma,"Bajo desempeño en suma, reforzar bases."
5,18,53.84,5,-43.92,1,suma,"Bajo desempeño en suma, reforzar bases."
5,0,20.83,5,-0.41499999999999915,2,suma,"Bajo desempeño en suma, reforzar bases."
9,4,43.55,2,-9.774999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
18,11,15.5,5,11.75,5,division,"Excelente desempeño en division, puede avanzar."
5,1,57.48,3,-20.24,1,suma,"Bajo desempeño en suma, reforzar bases."
9,12,56.79,5,-28.395,1,suma,"Bajo desempeño en suma, reforzar bases."
18,1,6.82,2,31.09,6,division,"Excelente desempeño en division, puede avanzar."
16,2,21.83,1,18.085,6,division,"Excelente desempeño en division, puede avanzar."
7,13,42.59,2,-26.795,1,suma,"Bajo desempeño en suma, reforzar bases."
9,17,16.99,2,-15.995,1,suma,"Bajo desempeño en suma, reforzar bases."
15,14,15.57,2,1.2149999999999999,3,resta,"Desempeño regular en resta, practicar más."
14,1,50.15,3,1.4250000000000007,3,resta,"Desempeño regular en resta, practicar más."
8,1,8.31,5,10.344999999999999,5,division,"Excelente desempeño en division, puede avanzar."
15,3,6.71,5,22.145,6,division,"Excelente desempeño en division, puede avanzar."
5,9,5.43,1,-6.215,1,suma,"Bajo desempeño en suma, reforzar bases."
20,16,24.52,3,3.74,3,resta,"Desempeño regular en resta, practicar más."
10,12,6.02,1,-1.0099999999999998,2,suma,"Bajo desempeño en suma, reforzar bases."
14,16,5.69,4,1.1549999999999998,3,resta,"Desempeño regular en resta, practicar más."
5,3,50.99,4,-19.995,1,suma,"Bajo desempeño en suma, reforzar bases."
1,8,45.91,4,-32.955,1,suma,"Bajo desempeño en suma, reforzar bases."
18,3,7.83,1,27.585,6,division,"Excelente desempeño en division, puede avanzar."
17,4,37.15,2,9.425,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
11,17,5.66,3,-6.33,1,suma,"Bajo desempeño en suma, reforzar bases."
11,14,14.7,3,-6.35,1,suma,"Bajo desempeño en suma, reforzar bases."
17,0,36.4,1,15.8,6,division,"Excelente desempeño en division, puede avanzar."
1,8,36.6,4,-28.3,1,suma,"Bajo desempeño en suma, reforzar bases."
3,2,52.75,1,-23.375,1,suma,"Bajo desempeño en suma, reforzar bases."
5,12,37.32,2,-26.66,1,suma,"Bajo desempeño en suma, reforzar bases."
12,14,50.04,3,-22.02,1,suma,"Bajo desempeño en suma, reforzar bases."
8,13,9.65,5,-8.325,1,suma,"Bajo desempeño en suma, reforzar bases."
16,8,53.92,2,-6.960000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
2,2,21.49,3,-9.745,1,suma,"Bajo desempeño en suma, reforzar bases."
9,9,54.66,2,-22.83,1,suma,"Bajo desempeño en suma, reforzar bases."
13,2,58.63,4,-6.315000000000001,1,suma,"Bajo desempeño en suma, reforzar bases."
10,18,28.02,2,-21.009999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
9,1,28.25,2,2.375,3,resta,"Desempeño regular en resta, practicar más."
12,14,57.77,5,-25.885,1,suma,"Bajo desempeño en suma, reforzar bases."
4,2,54.82,5,-22.41,1,suma,"Bajo desempeño en suma, reforzar bases."
11,1,54.12,1,-6.559999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
10,16,41.93,1,-24.965,1,suma,"Bajo desempeño en suma, reforzar bases."
2,6,19.51,2,-14.755,1,suma,"Bajo desempeño en suma, reforzar bases."
18,16,15.37,4,4.315,3,resta,"Desempeño regular en resta, practicar más."
12,5,56.48,1,-11.739999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
5,16,49.25,4,-38.625,1,suma,"Bajo desempeño en suma, reforzar bases."
3,4,42.01,4,-21.005,1,suma,"Bajo desempeño en suma, reforzar bases."
8,6,53.95,3,-19.975,1,suma,"Bajo desempeño en suma, reforzar bases."
3,6,24.6,1,-15.3,1,suma,"Bajo desempeño en suma, reforzar bases."
10,7,54.16,1,-17.58,1,suma,"Bajo desempeño en suma, reforzar bases."
0,13,20.34,3,-29.67,1,suma,"Bajo desempeño en suma, reforzar bases."
2,18,24.1,2,-35.05,1,suma,"Bajo desempeño en suma, reforzar bases."
12,4,35.4,5,0.3000000000000007,3,resta,"Desempeño regular en resta, practicar más."
12,12,56.99,1,-22.495,1,suma,"Bajo desempeño en suma, reforzar bases."
9,14,43.11,2,-24.555,1,suma,"Bajo desempeño en suma, reforzar bases."
7,15,51.83,4,-34.415,1,suma,"Bajo desempeño en suma, reforzar bases."
20,10,8.57,1,20.715,6,division,"Excelente desempeño en division, puede avanzar."
18,2,43.17,2,11.415,5,division,"Excelente desempeño en division, puede avanzar."
16,13,42.66,1,-8.829999999999998,1,suma,"Bajo desempeño en suma, reforzar bases."
11,10,20.97,3,-3.4849999999999994,2,suma,"Bajo desempeño en suma, reforzar bases."
19,5,22.58,5,19.21,6,division,"Excelente desempeño en division, puede avanzar."
0,7,51.98,4,-36.489999999999995,1,suma,"Bajo desempeño en suma, reforzar bases."
11,19,20.36,1,-16.68,1,suma,"Bajo desempeño en suma, reforzar bases."
19,11,41.9,2,0.5500000000000007,3,resta,"Desempeño regular en resta, practicar más."
1,15,7.49,3,-24.245,1,suma,"Bajo desempeño en suma, reforzar bases."
15,8,23.96,4,6.02,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
4,1,40.84,1,-13.920000000000002,1,suma,"Bajo desempeño en suma, reforzar bases."
12,8,27.3,1,-1.6500000000000004,2,suma,"Bajo desempeño en suma, reforzar bases."
1,20,47.82,1,-51.91,1,suma,"Bajo desempeño en suma, reforzar bases."
18,1,34.08,5,17.46,6,division,"Excelente desempeño en division, puede avanzar."
1,2,10.39,3,-6.195,1,suma,"Bajo desempeño en suma, reforzar bases."
20,7,34.95,3,12.024999999999999,5,division,"Excelente desempeño en division, puede avanzar."
7,2,22.62,4,-0.3100000000000005,2,suma,"Bajo desempeño en suma, reforzar bases."
3,10,53.68,3,-35.84,1,suma,"Bajo desempeño en suma, reforzar bases."
11,18,46.07,2,-28.035,1,suma,"Bajo desempeño en suma, reforzar bases."
13,4,42.33,5,-1.1649999999999991,2,suma,"Bajo desempeño en suma, reforzar bases."
17,15,18.24,5,2.380000000000001,3,resta,"Desempeño regular en resta, practicar más."
1,17,28.39,5,-37.695,1,suma,"Bajo desempeño en suma, reforzar bases."
15,18,35.51,3,-14.754999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
13,6,40.81,3,-3.405000000000001,2,suma,"Bajo desempeño en suma, reforzar bases."
20,0,13.52,3,33.24,6,division,"Excelente desempeño en division, puede avanzar."
15,11,46.37,4,-9.684999999999999,1,suma,"Bajo desempeño en suma, reforzar bases."
15,6,29.84,5,6.08,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
10,17,30.84,3,-20.92,1,suma,"Bajo desempeño en suma, reforzar bases."
8,13,29.01,4,-18.005000000000003,1,suma,"Bajo desempeño en suma, reforzar bases."
17,2,46.93,5,7.535,4,multiplicacion,"Buen desempeño en multiplicacion, mejorar velocidad."
9,4,19.12,4,2.4399999999999995,3,resta,"Desempeño regular en resta, practicar más."
11,0,45.29,4,-0.6449999999999996,2,suma,"Bajo desempeño en suma, reforzar bases."
6,14,30.91,5,-24.455,1,suma,"Bajo desempeño en suma, reforzar bases."
